{Par}三人とも、無事か？{/n}{/n},{Par}你们三个、都没事吧？{/n}{/n}
様子がどうなっているか、{/n}心配だな。{/n},不知现在状况如何{/n}实在令人担忧。{/n}
{Par}長らくの下界との断絶で、{/n}心の狭くなっている者が{/n}いなければいいのだがな。,{Par}由于长期与下界隔绝、{/n}希望没有人{/n}因此变得心胸狭隘。
もう いたみたいよ、ひとり。{/n}{/n},已经出现一个了哦。{/n}{/n}
また明日 たのんでみればいいよ。{/n}ね、海ちゃん。{/n},明天再去拜托试试吧。{/n}好吗、小海？{/n}
{Par}ひどいことになってしまったな。{/n}{/n},{Par}真是过分。{/n}{/n}
いきなり犯人扱いなんて、{/n}ひどいと思わない？{/n}何の証拠もないのに！,突然被当成犯人、{/n}太过分了吧？{/n}明明没有证据！
管理人のへんくつも{/n}そこまでとはな。{/n},管理人居然{/n}顽固到这种地步。{/n}
思い直させるには、{/n}光の言うように、真犯人を{/n}捕まえて見せるしかないだろうな。,要让他改变想法、{/n}正如光所说、{/n}只能抓住真凶了。
とりあえず、手がかりを{/n}探さないといけませんわ。{/n},总之必须{/n}先寻找线索。{/n}
{Par}管理人の家は、かなり厳しく{/n}警備が行われているようだな。{/n},{Par}管理人的家、{/n}戒备似乎相当森严啊。{/n}
しかし、なんとしても{/n}真犯人はさがさねばなるまい。{/n},但是、无论如何{/n}都要找出真凶。{/n}
問題の部屋を調べるためには、{/n}警備員に見つからぬように{/n}抜き足 差し足 忍び足…,要调查案发现场、{/n}必须蹑手蹑脚{/n}避开警备员…
セフィーロを救うマジックナイトがそんなことまでするの？{/n},拯救锡菲罗的魔法骑士{/n}居然要做这种事？{/n}
そのためにやるのだ。{/n}遠い道のりも、最初は{/n}一歩から始まるのだからな。,正因如此才要做。{/n}千里之行{/n}始于足下。
{Par}フェリオが そんなことを{/n}するはずはないな。{/n},{Par}菲力欧不可能{/n}做这种事。{/n}
ことの真実を{/n}確かめる必要がありそうだ。{/n},一定要{/n}查明真相。{/n}
{Par}フェリオ…何かわけがあるのか、{/n}それとも…{/n},{Par}菲力欧…{/n}是有什么苦衷、{/n}还是…
… … …。{/n}{/n},… … …。{/n}{/n}
風！{/n}元気だしなさいよっ！{/n},风！{/n}振作点！{/n}
そうだよ、風ちゃん！{/n}フェリオのこと、信じよう！{/n},没错、小风！{/n}要相信菲力欧！{/n}
{Par}本当に フェリオが…？{/n}{/n},{Par}难道真是菲力欧…？{/n}{/n}
そんなことはありえない。{/n}きっと なにか{/n}理由があるにちがいない。,绝无可能。{/n}一定是{/n}另有隐情。
わたしたちも もちろん{/n}そう 思いたいけど…。{/n},我们当然{/n}也希望如此…{/n}
{Par}すべからく 観察というものは{/n}大事なことだ。{/n},{Par}观察力至关重要。{/n}{/n}
「見る」のと「観察する」のとでは大ちがいなのだからな。{/n},「看」与「观察」{/n}可是天差地别啊。{/n}
観察で得た結果への対処を{/n}まちがえなければ、{/n}おのずと 道が開けよう。,只要正确应对观察结果、{/n}道路自然会显现。{/n}
{Par}それぞれの魔法の効果を{/n}きちんと おぼえているか？{/n},{Par}每种魔法的效果{/n}都还记得吗？{/n}
ただ魔物を倒すためだけでなく、{/n}別の効果を持つものがあったはず。,有些魔法不仅能退敌、{/n}还有特殊效果。
迷宮の中で、その効果が必要となる{/n}ところも あるだろうな。{/n},迷宫中的某些场合{/n}需要活用这些效果。{/n}
{Par}はるか高みにいる魔物には{/n}いかなエスクードの武器とて{/n}その力を示すことはできぬな。,{Par}面对高处的魔物、{/n}即便是艾斯古托武器{/n}也鞭长莫及。
さて、そのときは{/n}じっとガマンするか、それとも…{/n},这时是该忍耐、{/n}还是…{/n}
もう わかっているだろう？{/n}別の方法があることが。{/n},你应该知道{/n}还有其他办法吧？{/n}
{Par}困ったとき…{/n}おのれの力だけでは{/n}どうにもならぬとき…,{Par}陷入困境的时候…{/n}当自身的力量{/n}不足以应对时…
まわりのもの{/n}すべてを 利用するのだ。{/n},要善用{/n}周遭一切的事物。{/n}
{Par}ラファーガが そんなことに…{/n}{/n},{Par}拉法格居然…{/n}{/n}
しかし、今は セフィーロの{/n}未来の方が 大事。{/n}魔神を探し出すのが先決だ。,但眼下锡菲罗的{/n}未来更重要。{/n}当务之急是寻找魔神。
…と言っても、{/n}聞き入れはしないのだろうな？{/n},…话是这么说{/n}但你们也不会听吧？{/n}
あったりまえでしょ！{/n}{/n},那当然！{/n}{/n}
ラファーガを探すんだ！{/n}{/n},快去找拉法格！{/n}{/n}
{Par}ラファーガ…{/n}無事でいてくれるといいがな。{/n},{Par}拉法格…{/n}但愿平安无事。{/n}
無事でいるに決まってるよ！{/n}{/n},肯定没事的！{/n}{/n}
{Par}ラファーガが記憶を？{/n}ふむ…。{/n},{Par}拉法格失忆了？{/n}嗯…{/n}
ザガートの洗脳で 不安定になった{/n}心に、落下のショックが加わって{/n}そうなってしまったのか…？,扎加特的洗脑使心灵脆弱、{/n}再加上坠落的冲击{/n}才变成这样吗…？
{Par}ライリーの万能薬か。{/n}確かに それならば、ラファーガの{/n}記憶も戻るかもしれん。,{Par}莱利的万能药。{/n}或许能恢复{/n}拉法格的记忆。
急げよ。{/n}{/n},快去吧。{/n}{/n}
うんっ！{/n}{/n},嗯！{/n}{/n}
{Par}やはり 洗脳までは{/n}とくこと かなわなかったか。{/n},{Par}终究没能解除{/n}洗脑的效果吗。{/n}
ザガートの洗脳をとき、{/n}ラファーガを元に戻すには…{/n},要解除扎加特的洗脑、{/n}让拉法格恢复…{/n}
ライリーの万能薬も 効果が{/n}なかった今、それができるのは{/n}術をほどこした者のみ…,既然莱利的万能药无效、{/n}唯有施术者本人{/n}才能解除了吧…
ザガート自身が{/n}術をとくしかないってこと？{/n},意思是只有扎加特{/n}才能解除法术？{/n}
そんな…。{/n}{/n},怎么会…{/n}{/n}
いったい どうすればいいんだ…？{/n}{/n},到底该怎么办…？{/n}{/n}
{Par}ラファーガを{/n}なんとかしてやらなければ…！{/n},{Par}必须想办法{/n}救拉法格…！{/n}
光！{/n}ラファーガを追いかけましょう！{/n},光！{/n}快去追拉法格！{/n}
うんっ！{/n}{/n},嗯！{/n}{/n}
{Par}クレフ！{/n}ラファーガと戦うなんて{/n}できないよっ！,{Par}克雷夫！{/n}要和拉法格战斗什么的{/n}实在是做不到啊！
落ちつけ！{/n}{/n},冷静！{/n}{/n}
イノーバの与えた防具によって、{/n}ラファーガは 洗脳を{/n}強化されているようだ。,伊诺巴给予的防具{/n}强化了洗脑的效果。{/n}
まず、その防具を{/n}破壊することを考えろ！{/n},先设法破坏掉{/n}那件防具！{/n}
わかったよ、クレフ！{/n}{/n},明白了、克雷夫！{/n}{/n}
{Par}ラファーガの剣圧に{/n}正面から対抗しようとしても{/n}はねかえされてしまうぞ。,{Par}拉法格的剑气{/n}如果从正面抗衡{/n}一定会被弹开。
よく相手の動きを見て、{/n}スキをついて攻撃するのだ。{/n},要仔细观察动作、{/n}伺机攻击破绽。{/n}
{Par}今のわたしは おまえたちに{/n}かける言葉も持たぬ…{/n}すまん。,{Par}如今的我已没有{/n}能激励你们的话语…{/n}抱歉。
{Par}エスクードの武器の成長なった今、あとは 光の魔神を残すのみか…。{/n},{Par}艾斯古托武器已然成长、{/n}只剩下光的魔神了…{/n}
たのむぞ、マジックナイトたちよ。エメロード姫の願いを…{/n}かなえてくれ。,拜托了、魔法骑士们。{/n}请实现艾美诺公主的愿望。
{Par}足元に気をつけろよ。{/n}{/n},{Par}注意脚下。{/n}{/n}
…それだけ？{/n}{/n},…就这句？{/n}{/n}
その通りだ。{/n}{/n},正是如此。{/n}{/n}
{Par}熱くて触れることも{/n}かなわぬものは、{/n}冷ましてやるがよかろう。,{Par}那些灼热难近{/n}而无法触碰的东西、{/n}不妨先给它降降温。
{Par}自分の目というものは{/n}意外と信用ならないものだ。{/n},{Par}肉眼所见{/n}有时并不可靠。{/n}
先入観にとらわれず、{/n}あるものを あるがままに{/n}受け入れてみてはどうだ？,摒弃先入为主的观念、{/n}试着接受事物的{/n}本来面貌吧。
{Par}そうか…アルシオーネがな…。{/n}{/n},{Par}这样啊…阿尔希欧蕾啊…{/n}{/n}
あれも、一度 こうと決めたら{/n}一歩も引かぬ。{/n}思えば ふびんなやつ…。,那家伙一旦下定决心{/n}就绝不退让。{/n}想来也是个可怜人…。
{Par}アルシオーネも、空間をゆがませ{/n}最後の力をふりしぼって{/n}おそいかかってくる。,{Par}阿尔希欧蕾甚至扭曲空间、{/n}拼尽最后的力量来袭。{/n}
あわてず、落ちついて{/n}相手の攻撃を見きわめるのだ。{/n},不要慌张、沉着冷静地{/n}看穿对方的攻击。{/n}
どうにもならぬ時は、{/n}風の防御魔法を使うのもよかろう。{/n},万不得已之时{/n}就用风的防御魔法吧。{/n}
{Par}レイアースを手に入れたなら{/n}プレセアの元へ急ぐのだ。{/n},{Par}如果获得雷亚斯、{/n}就立刻回到普蕾西娅那里。{/n}
プレセアが、新しい道を{/n}示してくれるだろう。{/n},她会为你们{/n}指明新的道路。{/n}
{Par}精霊の森、伝説の岬へ急げ！{/n}{/n},{Par}速去精灵之森、传说之岬！{/n}{/n}
そこで、三人の{/n}成長…エスクー…の武器で{/n}魔神…よみがえらせ…,在那里、三人的成长…{/n}使用艾斯古…武器{/n}使魔神…复苏…
クレフ！{/n}どうしたの、クレフ！{/n},克雷夫！{/n}怎么了、克雷夫！{/n}
通信の状態が{/n}よくないのかしら…？{/n},通讯状态{/n}不太好吗…？{/n}
それだけなら{/n}よろしいのですけれど…{/n},但愿只是{/n}这样的情况…{/n}
え、えんぎでもないこと{/n}言わないでよ、風…。{/n},别、别说这种{/n}不吉利的话啊、风…{/n}
{Par}急げ…精霊の森…{/n}伝説の岬…{/n},{Par}快…精灵之森…{/n}传说之岬…{/n}
もう…ろそろ…{/n}通信…不可能…{/n},已经…快要…{/n}通讯…中断…{/n}
…の…ぞ…{/n}{/n},…的…愿…{/n}{/n}
クレフ！{/n}{/n},克雷夫！{/n}{/n}
クレフさんを{/n}早く 安心させるためにも、{/n}伝説の森に急ぎましょう！,为了让克雷夫先生{/n}早日安心、{/n}赶快去传说之森！
{Par}… … …{/n}{/n},{Par}… … …{/n}{/n}
クレフ…{/n}{/n},克雷夫…{/n}{/n}
{Par}… … …{/n}{/n},{Par}… … …{/n}{/n}
もう これからは クレフさんに{/n}頼らず、わたくしたちだけの力で{/n}進まなければなりませんわ。,从现在起、我们{/n}不能再依赖克雷夫先生。{/n}要凭我们自己的力量前进了。
ええ…そうよね！{/n}{/n},嗯…没错！{/n}{/n}
行こう！{/n}海ちゃん、風ちゃん！{/n},出发吧！{/n}小海、小风！{/n}
